city,latitude,temperature,humidity,wind speed,cloudiness
mount pleasant,32.79,290.05,100,2.72,20
khovu-aksy,51.13,271.51,64,2.22,0
albany,42.6,279.24,41,3.1,90
hobart,-42.88,290.58,68,3.6,90
port elizabeth,-33.92,288.15,100,3.1,28
codrington,-38.27,291.61,78,13.38,100
seidu,9.02,294.31,93,1.1,25
umm kaddadah,13.6,294.71,17,9.51,100
taurage,55.25,279.31,83,3.79,100
lebu,-37.62,282.21,96,2.11,0
ushuaia,-54.8,279.15,94,4.1,40
sunland park,31.8,284.03,93,2.1,75
bandar-e anzali,37.47,282.15,93,1.56,90
souillac,-20.52,299.63,83,1.5,20
jamestown,42.1,278.74,93,2.1,90
vostok,46.49,273.61,99,1.04,99
arraial do cabo,-22.97,298.11,85,4.45,24
rikitea,-23.12,299.61,80,4.76,100
ourossogui,15.61,295.11,19,4.7,12
sitka,57.05,276.21,93,2.7,90
bluff,-46.6,287.31,74,9.17,100
tigil,57.8,265.61,86,4.13,100
rosarito,32.33,284.45,87,2.1,75
busselton,-33.65,297.04,33,5.54,98
olga,43.74,276.11,94,5.1,75
dwarka,22.24,297.9,69,3.54,14
pevek,69.7,254.71,96,8.15,100
chokurdakh,70.63,246.11,90,3.52,0
enshi,30.3,293.31,40,1.98,33
andenes,69.31,269.8,68,11.3,100
marsh harbour,26.54,296.01,80,7.45,0
new norfolk,-42.78,289.85,76,0.45,100
vaini,-21.2,301.15,69,4.1,75
assiniboia,49.63,263.4,89,2.81,100
yellowknife,62.46,249.21,69,1.5,5
butaritari,3.07,301.11,82,7.97,2
puerto ayora,-0.74,299.26,82,2.24,47
bredasdorp,-34.53,289.81,78,1.21,11
hithadhoo,-0.6,302.81,71,3.89,12
wewak,-3.55,301.21,78,3.06,40
nabire,-3.37,300.31,77,0.24,99
hasaki,35.73,294.49,37,6.7,20
francisco beltrao,-26.08,291.61,97,0.7,82
lethbridge,49.7,266.15,85,3.1,90
tecoanapa,16.52,295.61,88,0.77,0
terra santa,-2.1,297.81,90,0.89,85
barrow,71.29,265.15,92,5.1,20
esperance,-33.87,294.15,56,4.6,90
puerto leguizamo,-0.19,295.61,97,0.78,100
salekhard,66.53,262.21,94,4.06,100
college,64.86,272.08,86,0.88,40
pangnirtung,66.15,258.11,74,4.06,100
inyonga,-6.72,292.21,91,2.29,100
luxor,25.7,288.81,43,5.1,0
tonj,7.27,302.81,25,1.25,63
trairi,-3.28,296.31,97,0.96,11
dhidhdhoo,6.88,302.21,74,6.09,70
cherskiy,68.75,247.81,89,9.15,100
labuan,5.28,304.68,62,1.5,75
bandarbeyla,9.49,300.51,73,2.19,85
maragogi,-9.01,301.21,79,7.14,73
airai,-8.93,296.71,79,2.47,67
ribeira grande,38.52,283.9,75,5.9,44
alofi,-19.06,299.15,94,4.6,100
punta arenas,-53.15,281.04,75,5.1,40
mushie,-3.02,296.01,96,0.76,100
khatanga,71.97,256.81,94,4.51,100
atuona,-9.8,301.11,77,6.27,97
arona,28.1,287.91,67,3.6,20
hermiston,45.84,279.38,75,1.72,1
nikolskoye,59.7,274.59,100,6,75
lahij,13.17,297.9,69,4.96,94
severo-kurilsk,50.68,268.71,90,11.79,91
flin flon,54.77,251.61,97,1.43,51
bo phloi,14.32,310.61,20,3.16,2
broome,42.25,277.84,80,3.6,90
oum hadjer,13.3,297.9,13,6.35,48
altamont,42.21,272.46,80,2.6,1
aksarka,66.56,263.01,94,3.15,98
bullhead city,35.15,282.9,87,2.07,90
iqaluit,63.75,253.15,70,11.8,75
paamiut,61.99,272.71,59,17.03,100
egvekinot,66.32,271.11,98,4.71,100
borogontsy,62.67,259.9,80,2.04,32
jepara,-5.17,304.11,66,2.9,64
iquitos,-3.75,298.15,94,1.5,40
asyut,27.18,285.81,58,4,0
campos sales,-7.07,295.11,92,1.71,100
touros,-5.2,298.15,94,1,20
